year;event_id;i0;i1;hp_mm;hr_mm;P_ante_mm;Q0_Ls;V_excess_m3;preflow_class
2020;1;2571;15156;136.5;21.702810564073456;0.0;17.5042485697852;17579.2765568995;très humide (>15 L/s)
2020;2;16023;22863;86.0;12.849040731605104;0.0;15.3860616831237;10407.722992600133;très humide (>15 L/s)
2020;3;23804;26316;14.5;0.08426654526202028;0.0;15.7505692100757;68.25590166223643;très humide (>15 L/s)
2020;4;31431;36706;96.5;4.596607257005041;0.0;5.57372984523275;3723.2518781740832;humide (5–15 L/s)
2020;5;37421;40814;120.0;24.963047560170526;0.0;15.5635391726758;20220.068523738126;très humide (>15 L/s)
2020;6;44471;49785;436.0;209.24686133091896;0.0;8.73197169614137;169489.95767804436;humide (5–15 L/s)
2020;7;52594;54072;4.0;0.020059647293598264;0.0;11.3584787759299;16.248314307814596;humide (5–15 L/s)
2020;8;58427;60000;2.0;0.001967315706960855;0.0;2.03703835277194;1.5935257226382926;sec (1–5 L/s)
2020;9;64801;67176;39.0;0.39889218888190453;0.0;0.920453268756432;323.1026729943427;très sec (Q0 < 1 L/s)
2020;10;72670;72816;11.5;0.011536062208113127;0.0;0.780861777270704;9.344210388571634;très sec (Q0 < 1 L/s)
2020;11;75447;81428;354.5;64.41972460593313;0.0;0.751249465468472;52179.97693080583;très sec (Q0 < 1 L/s)
2020;12;82561;82628;1.0;9.88293756051851e-05;0.0;28.74232379254;0.08005179424019992;très humide (>15 L/s)
2020;13;82787;87076;165.5;61.0577917954764;1.0;26.6699114508644;49456.811354335885;très humide (>15 L/s)
2020;14;89332;91459;100.0;28.43121656520215;0.0;20.9062552637249;23029.285417813742;très humide (>15 L/s)
2020;15;91559;92738;41.0;2.114482383423025;0.0;47.0894096488368;1712.7307305726504;très humide (>15 L/s)
2020;16;94784;102658;204.5;94.81941150208357;0.0;24.9473333185187;76803.72331668768;très humide (>15 L/s)
2020;17;103031;103361;6.5;0.0;0.0;92.0088260798146;0.0;très humide (>15 L/s)
2021;1;3320;16764;156.5;84.37122080434105;0.0;12.6079604518047;68340.68885151624;humide (5–15 L/s)
2021;2;18739;22115;10.0;0.0979010731142846;0.0;21.7559895870357;79.29986922257054;très humide (>15 L/s)
2021;3;24458;25896;1.0;0.0005485445876608879;0.0;7.41871283974711;0.4443211160053192;humide (5–15 L/s)
2021;4;28296;30664;16.0;0.5542860333934644;0.0;4.303640440073;448.97168704870614;sec (1–5 L/s)
2021;5;33204;40524;287.0;149.45843426074273;0.0;4.70133509730725;121061.33175120162;sec (1–5 L/s)
2021;6;43648;46032;7.5;0.017698496157773178;0.0;15.0113916556313;14.335781887796275;très humide (>15 L/s)
2021;7;48427;57288;161.0;6.106619096130366;0.0;4.499479404669994;4946.361467865597;sec (1–5 L/s)
2021;8;59918;64342;42.0;0.17984595151691896;0.0;4.42044617842559;145.67522072870435;sec (1–5 L/s)
2021;9;70542;76778;102.0;1.5856456216044512;0.0;1.14596164200759;1284.3729534996055;sec (1–5 L/s)
2021;10;76961;78552;9.0;0.04117552185204124;0.0;3.44862374452738;33.35217270015341;sec (1–5 L/s)
2021;11;79102;80722;279.0;146.8616476620729;0.0;2.98221227872758;118957.93460627904;sec (1–5 L/s)
2021;12;83993;85768;26.5;1.9543244172869505;0.0;18.7115356840778;1583.00277800243;très humide (>15 L/s)
2021;13;86495;88747;316.5;228.66817430293568;0.0;18.1491003320363;185221.2211853779;très humide (>15 L/s)
2021;14;96298;100940;35.0;1.110865552245464;0.0;28.2138386118883;899.8010973188258;très humide (>15 L/s)
2021;15;102528;105114;26.0;0.48124159208504785;0.0;19.4855237979;389.80568958888875;très humide (>15 L/s)
2022;1;1132;3744;6.5;0.009560532297608724;0.0;18.3348597224001;7.744031161063066;très humide (>15 L/s)
2022;2;10721;12156;0.5;0.0016499435706172666;0.0;5.30098923302214;1.336454292199986;humide (5–15 L/s)
2022;3;12420;17028;94.0;14.805231630672942;0.0;4.74261880450528;11992.237620845082;sec (1–5 L/s)
2022;4;17390;18828;0.5;0.00022041267006273898;0.0;19.4855237979;0.17853426275081857;très humide (>15 L/s)
2022;5;19195;20129;60.5;0.0;0.0;14.120609548481;0.0;humide (5–15 L/s)
2022;6;27510;30332;24.5;2.399582737506197;0.0;39.1136904533438;1943.6620173800197;très humide (>15 L/s)
2022;7;31500;34176;75.0;11.538140303297528;0.0;22.081963986845153;9345.893645670996;très humide (>15 L/s)
2022;8;35094;39890;9.5;0.00010011207048988893;0.0;29.277733925569;0.08109077709681003;très humide (>15 L/s)
2022;9;43232;44676;1.0;0.0067473480525377895;0.0;3.31926134853139;5.465351922555609;sec (1–5 L/s)
2022;10;45606;47196;1.5;0.006653560616649509;0.0;2.08105862804653;5.389384099486102;sec (1–5 L/s)
2022;11;49552;53580;97.0;1.5466286748623568;0.0;0.940375554053246;1252.769226638509;très sec (Q0 < 1 L/s)
2022;12;62352;63814;28.5;0.37660396961932563;0.0;1.40181052664825;305.0492153916538;sec (1–5 L/s)
2022;13;64826;67620;41.0;0.20742091261735265;0.0;0.788651212836911;168.01093922005563;très sec (Q0 < 1 L/s)
2022;14;70397;75408;70.0;0.644130794313864;0.0;1.40181052664825;521.7459433942298;sec (1–5 L/s)
2022;15;76557;86652;134.5;3.6727014549408286;0.0;1.40181052664825;2974.8881785020712;sec (1–5 L/s)
2022;16;87394;96907;129.5;15.399492400611837;0.0;9.181118842174476;12473.588844495589;humide (5–15 L/s)
2022;17;96963;102572;96.0;52.91916777581925;0.0;18.9987712267625;42864.525898413594;très humide (>15 L/s)
2022;18;104047;105119;2.5;0.000358844162055034;0.0;38.3025207395156;0.29066377126457754;très humide (>15 L/s)
2023;1;19530;27698;70.0;6.31814165633257;0.0;23.0823015481676;5117.6947416293815;très humide (>15 L/s)
2023;2;28847;31404;10.0;0.028540079791475107;0.0;8.35923600044172;23.117464631094837;humide (5–15 L/s)
2023;3;31745;33972;11.5;0.12880688513159771;0.0;5.7609205462217;104.33357695659416;humide (5–15 L/s)
2023;4;34080;35530;6.5;0.02546627892556524;0.0;5.21219815302954;20.627685929707845;humide (5–15 L/s)
2023;5;36356;39600;28.5;0.33610063373027993;0.0;3.64957749536742;272.2415133215268;sec (1–5 L/s)
2023;6;41039;47438;131.5;14.616932746716632;0.0;6.45060312607585;11839.715524840472;humide (5–15 L/s)
2023;7;54098;56748;6.0;0.01668035250519639;0.0;9.511114498328;13.511085529209076;humide (5–15 L/s)
2023;8;58759;60600;3.0;0.014756079123971408;0.0;2.952780815091;11.95242409041684;sec (1–5 L/s)
2023;9;68327;70524;44.0;0.26575412882517835;0.0;0.590577693725108;215.26084434839447;très sec (Q0 < 1 L/s)
2023;10;83217;86603;274.5;118.75070434374025;0.0;4.86749283303517;96188.07051842961;sec (1–5 L/s)
2023;11;86772;93446;113.0;3.545322705077593;0.0;75.1175537850806;2871.71139111285;très humide (>15 L/s)
2023;12;95242;97824;25.0;0.5716145988877702;0.0;17.0706274565039;463.0078250990939;très humide (>15 L/s)
2024;1;19334;21338;155.0;71.68587231292956;0.0;38.7878303773371;58065.556573472946;très humide (>15 L/s)
2024;2;21476;22920;5.0;14.170889720296856;0.0;99.48043342768095;11478.420673440452;très humide (>15 L/s)
2024;3;24404;26936;243.5;167.38906136935574;0.0;67.1664232373372;135585.13970917815;très humide (>15 L/s)
2024;4;28480;30062;8.5;0.14566773054171547;0.0;45.9967666399317;117.99086173878953;très humide (>15 L/s)
2024;5;33399;35791;282.5;161.57896453184935;0.0;11.5098766753941;130878.96127079797;humide (5–15 L/s)
2024;6;36280;36535;17.5;1.3314017448328082;0.0;81.0370282196892;1078.4354133145746;très humide (>15 L/s)
2024;7;36736;38241;3.0;0.01068613724952988;0.0;66.7145604185516;8.655771172119202;très humide (>15 L/s)
2024;8;38690;41220;105.0;18.757297648392097;0.0;29.5480365158917;15193.4110951976;très humide (>15 L/s)
2024;9;41619;44730;8.0;0.0001868375025400371;0.0;40.769104738124;0.15133837705743006;très humide (>15 L/s)
2024;10;45342;45648;3.0;0.00571538413064885;0.0;13.7744748935337;4.629461145825569;humide (5–15 L/s)
2024;11;50840;53460;29.0;0.4205323298849401;0.0;4.38117954377188;340.6311872068015;sec (1–5 L/s)
2024;12;53894;58008;11.5;0.0039895303636451026;0.0;3.68400263795114;3.2315195945525335;sec (1–5 L/s)
2024;13;58197;59880;18.5;0.12974246089125221;0.0;1.71211269348973;105.0913933219143;sec (1–5 L/s)
2024;14;61849;63192;27.0;0.13309735235488898;0.0;0.882292086996248;107.80885540746009;très sec (Q0 < 1 L/s)
2024;15;65005;65608;41.0;0.14369577445502638;0.0;0.812542327377;116.39357730857135;très sec (Q0 < 1 L/s)
2024;16;71320;75288;72.0;0.7682605076715937;1.5;0.698045612281736;622.2910112139908;très sec (Q0 < 1 L/s)
2024;17;75389;86693;995.0;394.0327570500011;0.0;1.93043821857338;319166.5332105009;sec (1–5 L/s)
2024;18;89139;91704;10.0;0.0;0.0;37.1846292353843;0.0;très humide (>15 L/s)
2024;19;93214;95007;121.0;24.627683756582428;0.0;12.446947694442;19948.42384283177;humide (5–15 L/s)
2024;20;97782;99804;7.5;0.033657630236068194;0.0;28.74232379254;27.262680491215235;très humide (>15 L/s)
2024;21;100131;104100;13.0;0.07031549459600851;0.0;16.8968933994681;56.95555062276689;très humide (>15 L/s)
